project_slug,project_name,category,repository_url,primary_site,license_declared,reuse_classification,coverage_summary,maturity_rating,license_rating,quebec_canada_relevance,saas_selfhost_k8s_relevance,notes,date_checked
odoo,Odoo,ERP suite,https://github.com/odoo/odoo,https://www.odoo.com,Other,Unknown,ERP suite; apps; manufacturing; accounting; CRM,Unknown,Unknown,Unknown,Unknown,GH repo view checked; license metadata Other,2026-05-06
twenty,Twenty,CRM,https://github.com/twentyhq/twenty,https://twenty.com,Other,Unknown,CRM; Salesforce alternative; AI-oriented sales platform,Unknown,Unknown,Unknown,Unknown,GH repo view checked; license metadata Other,2026-05-06
erpnext,ERPNext,ERP suite,https://github.com/frappe/erpnext,https://frappe.io/erpnext,GPL-3.0,functional reference only,ERP suite; accounting; HR; manufacturing; projects,Unknown,Unknown,Unknown,Unknown,GH repo view checked,2026-05-06
dolibarr,Dolibarr,ERP suite,https://github.com/Dolibarr/dolibarr,https://www.dolibarr.org,GPL-3.0,functional reference only,ERP and CRM; invoices; orders; stock; accounting,Unknown,Unknown,Unknown,Unknown,GH repo view checked,2026-05-06
metasfresh,metasfresh,ERP suite,https://github.com/metasfresh/metasfresh,http://metasfresh.com/en,GPL-2.0,functional reference only,ERP suite; accounting; trade; manufacturing; warehouse; REST API,Partial,Blocked,Unknown,Partial,GPL-2.0 evidence in backend license; GitHub license endpoint 404; conditional Graphify for ERP manufacturing,2026-05-06
aureuserp,Aureus ERP,ERP suite,https://github.com/aureuserp/aureuserp,https://aureuserp.com,MIT,usable,ERP plugins; accounting; invoicing; inventory; sales; HR; projects,Partial,Strong,Weak,Partial,MIT license; broad Laravel Filament ERP; conditional Graphify for permissive ERP modules,2026-05-06
idurar,IDURAR,ERP CRM,https://github.com/idurar/idurar-erp-crm,https://www.idurarapp.com,AGPL-3.0,functional reference only,Simple ERP CRM; invoices; quotes; payments; customers,Partial,Blocked,Weak,Partial,AGPL license with package metadata mismatch; no Graphify target unless lightweight MERN comparison needed,2026-05-06
facturascripts,FacturaScripts,ERP accounting,https://github.com/NeoRazorX/facturascripts,https://facturascripts.com,LGPL-3.0-or-later,cautious inspiration,ERP accounting; invoicing; stock; customers; suppliers; API,Strong,Partial,Weak,Partial,LGPL-3.0-or-later in composer; cautious accounting ERP reference; conditional Graphify,2026-05-06
suitecrm,SuiteCRM,CRM,https://github.com/SuiteCRM/SuiteCRM,https://www.suitecrm.com,AGPL-3.0,functional reference only,CRM; sales; marketing; cases; workflows; quotes; invoices,Strong,Blocked,Weak,Partial,AGPL license evidence with composer GPL-3.0 mismatch; conditional Graphify for CRM workflows,2026-05-06
frappe-crm,Frappe CRM,CRM,https://github.com/frappe/crm,https://frappe.io/crm,AGPL-3.0,functional reference only,Modern CRM; leads; deals; contacts; calls; ERPNext integration,Partial,Blocked,Weak,Partial,AGPL license evidence with package GPL-3.0 mismatch; checked default develop branch; conditional Graphify,2026-05-06
espocrm,EspoCRM,CRM,https://github.com/espocrm/espocrm,https://www.espocrm.com,AGPL-3.0-or-later,functional reference only,CRM platform; leads; contacts; opportunities; cases; REST API,Strong,Blocked,Weak,Partial,AGPL-3.0-or-later package metadata; mature CRM API platform; conditional Graphify,2026-05-06
invoiceplane,InvoicePlane,Accounting invoicing,https://github.com/InvoicePlane/InvoicePlane,https://www.invoiceplane.com,MIT-style with trademark restrictions and CodeIgniter license text,cautious inspiration,Invoices; quotes; clients; payments; recurring invoices; reports,Partial,Partial,Weak,Partial,GitHub Other and SPDX NOASSERTION; composer says MIT; conditional Graphify functional-first,2026-05-06
crater,Crater,Accounting invoicing,https://github.com/crater-invoice-inc/crater,https://craterapp.com,AGPL-3.0,functional reference only,Invoices; estimates; payments; expenses; recurring invoices; customer portal,Partial,Blocked,Weak,Partial,AGPL; Laravel Vue invoicing with API and Docker Compose; conditional Graphify functional only,2026-05-06
frappe-hr,Frappe HR,HR payroll,https://github.com/frappe/hrms,https://frappe.io/hr,GPL-3.0,functional reference only,HR; payroll; attendance; leave; recruitment; performance; expenses,Strong,Blocked,Weak,Partial,GPL-3.0; strong HR payroll Frappe reference; conditional Graphify functional only,2026-05-06
orangehrm,OrangeHRM,HR,https://github.com/orangehrm/orangehrm,https://www.orangehrm.com,GPL-3.0,functional reference only,HRM; PIM; leave; time; attendance; recruitment; performance,Strong,Blocked,Weak,Partial,GPL-3.0; mature HR plugin architecture and API paths; conditional Graphify functional only,2026-05-06
kimai,Kimai,Time expenses,https://github.com/kimai/kimai,https://www.kimai.org,AGPL-3.0,functional reference only,Time tracking; customers; projects; activities; invoices; reports; API,Strong,Blocked,Weak,Partial,AGPL-3.0; strong time service billing reference; conditional Graphify functional only,2026-05-06
killbill,Kill Bill,Subscription billing,https://github.com/killbill/killbill,https://killbill.io,Apache-2.0,usable,Subscription billing; catalog; entitlements; usage; invoices; payments; APIs,Strong,Strong,Weak,Partial,Apache-2.0; mature Java subscription billing platform; Graphify yes if billing shortlisted,2026-05-06
lago,Lago,Subscription billing,https://github.com/getlago/lago,https://www.getlago.com,AGPL-3.0,functional reference only,Usage billing; metering; plans; subscriptions; invoices; wallets; entitlements,Strong,Blocked,Weak,Partial,AGPL root and API submodule; strong functional reference with submodule caveat,2026-05-06
